Win Prob,Loss Prob,Tie Prob
0.404462,0.491756,0.108632
0.451149,0.462644,0.091954
0.400774,0.517909,0.0861568
0.445959,0.462512,0.0915287
0.456311,0.464078,0.084466
0.42607,0.506809,0.0690661
0.413397,0.501435,0.0870813
0.419167,0.501452,0.0832527
0.420488,0.484878,0.0956098
0.445841,0.475822,0.0870406
0.438235,0.471569,0.0941176
0.443149,0.474247,0.0855199
0.442105,0.469856,0.0937799
0.437561,0.478219,0.089061
0.446394,0.468811,0.088694
0.425388,0.495155,0.0852713
0.42386,0.483996,0.0969932
0.403679,0.509197,0.0909971
0.424094,0.487757,0.0910872
0.434656,0.476283,0.090029
0.422929,0.495183,0.0857418
0.412668,0.494242,0.0940499
0.460501,0.456647,0.0857418
0.440777,0.46699,0.100971
0.422439,0.499512,0.08
0.418447,0.499029,0.0883495
0.438905,0.471163,0.0909091
0.396467,0.50736,0.101079
0.429961,0.464981,0.107004
0.437137,0.468085,0.0976789
0.426901,0.487329,0.0906433
0.431731,0.502885,0.0730769
0.418041,0.509214,0.085354
0.421256,0.48599,0.0985507
0.44358,0.463035,0.0972763
0.442733,0.479307,0.0846968
0.435078,0.471899,0.0988372
0.429952,0.50628,0.0743961
0.434656,0.475315,0.0919652
0.434402,0.499514,0.0728863
0.438665,0.487733,0.0745829
0.416263,0.510165,0.0822846
0.438104,0.475822,0.0909091
0.435374,0.463557,0.102041
0.423265,0.495601,0.0860215
0.447907,0.473223,0.0827653
0.458333,0.44186,0.100775
0.423301,0.516505,0.0669903
0.422439,0.48878,0.0907317
0.445305,0.459826,0.0968054
0.424684,0.489796,0.0894072
0.461988,0.457115,0.088694
0.417154,0.492203,0.0955166
0.421663,0.497099,0.0889749
0.422439,0.491707,0.0917073
0.417939,0.501908,0.0877863
0.406402,0.508244,0.0882638
0.44112,0.480695,0.0810811
0.438953,0.473837,0.0901163
0.441148,0.48134,0.0822967
0.432749,0.493177,0.0769981
0.4294,0.477756,0.0947776
0.439379,0.474297,0.0911736
0.42787,0.498528,0.0755643
0.440154,0.473938,0.0897683
0.43122,0.49561,0.0780488
0.405825,0.51068,0.0864078
0.438104,0.480658,0.0851064
0.423977,0.494152,0.0838207
0.423188,0.500483,0.0811594
0.462802,0.456039,0.0859903
0.428571,0.482993,0.090379
0.391431,0.496592,0.114898
0.425908,0.48577,0.0902846
0.420951,0.467507,0.113482
0.418627,0.489216,0.095098
0.455769,0.465385,0.0836538
0.457692,0.472115,0.0788462
0.429273,0.501965,0.0707269
0.418762,0.491296,0.0967118
0.417881,0.515063,0.0728863
0.443798,0.478682,0.0843023
0.418853,0.494655,0.0884354
0.412281,0.499025,0.0916179
0.431992,0.488506,0.0871648
0.453049,0.461762,0.0880929
0.417476,0.493204,0.0941748
0.422481,0.486434,0.0959302
0.404624,0.496146,0.10501
0.462056,0.465898,0.079731
0.424242,0.486804,0.0909091
0.421206,0.478599,0.105058
0.420498,0.495211,0.0929119
0.402711,0.50242,0.105518
0.401168,0.514119,0.0886076
0.405458,0.513645,0.0847953
0.415954,0.504274,0.0845204
0.418447,0.497087,0.0893204
0.422135,0.485798,0.0940255
0.437016,0.462209,0.102713
0.435922,0.478641,0.0932039
0.444874,0.489362,0.0715667
0.407729,0.497585,0.0966184
0.441006,0.472921,0.089942
0.441319,0.479146,0.0843841
0.432645,0.487709,0.0825959
0.422439,0.479024,0.102439
0.44971,0.462282,0.0918762
0.452703,0.466216,0.0849421
0.43738,0.475915,0.0905588
0.444015,0.468147,0.0897683
0.444337,0.46757,0.0929332
0.426923,0.484615,0.0942308
0.433301,0.481013,0.0886076
0.425097,0.486381,0.0933852
0.419355,0.488759,0.0938416
0.425097,0.480545,0.0992218
0.435624,0.471442,0.100678
0.400591,0.499016,0.100394
0.420388,0.485437,0.0990291
0.407191,0.507289,0.0874636
0.440465,0.488867,0.0745402
0.437928,0.481916,0.0821114
0.42289,0.479146,0.099903
0.432459,0.467444,0.103013
0.439689,0.488327,0.0749027
0.439614,0.478261,0.0879227
0.44347,0.482456,0.0779727
0.418762,0.479691,0.105416
0.435484,0.483871,0.0872865
0.434825,0.474708,0.0933852
0.445205,0.47456,0.0831703
0.420176,0.477963,0.104799
0.415851,0.508806,0.0763209
0.42885,0.479532,0.0916179
0.433171,0.490732,0.0790244
0.448008,0.474247,0.0835763
0.423301,0.494175,0.0854369
0.441205,0.48105,0.0835763
0.450635,0.472141,0.0811339
0.435328,0.477799,0.0916988
0.424125,0.502918,0.077821
0.454017,0.454985,0.0939013
0.419261,0.490272,0.0933852
0.413827,0.499513,0.0934761
0.41376,0.499031,0.0920543
0.397849,0.511241,0.0957967
0.446602,0.46699,0.0912621
0.417808,0.495108,0.0919765
0.406763,0.515942,0.0908213
0.418919,0.486486,0.0984556
0.385896,0.525955,0.0901077
0.420332,0.479961,0.103617
0.412853,0.501461,0.0876339
0.443798,0.479651,0.0823643
0.409962,0.494253,0.0996169
0.406731,0.504808,0.0932692
0.438953,0.47093,0.0949612
0.421206,0.488327,0.0963035
0.442913,0.482283,0.0767717
0.400971,0.491262,0.11068
0.425511,0.506329,0.0740019
0.447471,0.478599,0.0826848
0.477295,0.448309,0.0763285
0.420488,0.476098,0.106341
0.4375,0.485352,0.0800781
0.413659,0.499512,0.0887805
0.461759,0.457935,0.08413
0.42278,0.484556,0.0955598
0.433981,0.48932,0.0834951
0.431335,0.470019,0.101547
0.43301,0.479612,0.0902913
0.462874,0.455159,0.0858245
0.4258,0.495635,0.086324
0.43314,0.467054,0.102713
0.421769,0.490768,0.0884354
0.425511,0.494645,0.0847128
0.446498,0.460117,0.098249
0.412391,0.508228,0.089061
0.437561,0.482091,0.0832527
0.442829,0.485465,0.0784884
0.435453,0.487476,0.0818882
0.44086,0.485826,0.0742913
0.447013,0.485549,0.0751445
0.445192,0.472115,0.0884615
0.439806,0.470874,0.092233
0.429126,0.468932,0.105825
0.446169,0.455868,0.102813
0.414563,0.498058,0.0902913
0.411594,0.498551,0.0985507
0.441233,0.462428,0.0973025
0.419011,0.495635,0.0882638
0.430368,0.479691,0.0938104
0.419922,0.485352,0.0957031
0.426901,0.473684,0.103314
0.406763,0.498551,0.0975845
0.406037,0.507303,0.0925024
0.447139,0.470417,0.086324
0.444227,0.46184,0.0958904
0.43259,0.489816,0.0785645
0.451644,0.472921,0.0793037
0.442085,0.473938,0.0888031
